"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","qua.type","predited"
"10",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,"1","1"
"18",8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,"1","1"
"20",7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,"2","2"
"25",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,"2","2"
"38",8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,"3","3"
"40",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,"1","1"
"42",8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,"1","1"
"43",7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,"2","2"
"50",5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,"1","1"
"52",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,"2","2"
"54",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,"1","1"
"60",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,"2","2"
"67",7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,"1","1"
"72",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,"1","1"
"75",9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,"1","1"
"86",6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,"1","1"
"93",8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,"1","1"
"96",4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,"2","2"
"97",6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,"1","1"
"101",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,"2","2"
"105",7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,"1","1"
"107",7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,"1","1"
"111",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,"1","1"
"122",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,"2","2"
"129",8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,"3","3"
"142",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,"1","1"
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,"2","2"
"146",8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,"1","1"
"149",6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,"2","2"
"155",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,"1","1"
"156",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,"1","1"
"166",7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,"1","1"
"167",6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,"1","1"
"168",7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,"1","1"
"177",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,"1","1"
"180",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,"1","1"
"186",8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,"1","1"
"193",6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,"1","1"
"194",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,"1","1"
"207",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,"3","3"
"227",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,"2","2"
"234",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,"1","1"
"236",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,"2","2"
"243",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,"2","2"
"249",7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6,"2","2"
"258",6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,"1","1"
"263",8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,"1","1"
"272",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,"2","2"
"276",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,"2","2"
"279",10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,"3","3"
"289",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,"3","3"
"300",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,"1","1"
"306",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,"2","2"
"312",7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6,"2","2"
"315",7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,"1","1"
"323",7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,"1","1"
"324",10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,"2","2"
"331",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,"2","2"
"336",11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,"3","3"
"342",10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6,"2","2"
"360",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,"2","2"
"363",11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,"1","1"
"372",7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6,"2","2"
"374",7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,"1","1"
"386",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,"2","2"
"387",7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6,"2","2"
"391",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,"3","3"
"403",12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,"2","2"
"405",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,"1","1"
"406",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6,"2","2"
"410",12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4,"1","1"
"425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,"1","1"
"426",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,"3","3"
"427",6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6,"2","2"
"441",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,"3","3"
"447",12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,"1","1"
"451",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,"2","2"
"467",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6,"2","2"
"468",8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6,"2","2"
"473",12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6,"2","2"
"474",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,"1","1"
"476",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,"1","1"
"486",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,"1","1"
"496",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,"3","3"
"497",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,"2","2"
"503",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,"3","3"
"505",10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,7,"3","3"
"506",10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7,"3","3"
"514",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,"3","3"
"516",8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5,"1","1"
"517",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6,"2","2"
"519",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6,"2","2"
"520",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,"1","1"
"523",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,"1","1"
"525",9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5,"1","1"
"527",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,"1","1"
"531",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,"2","2"
"543",9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5,"1","1"
"547",7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6,"2","2"
"551",6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,6,"2","2"
"559",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,"2","2"
"563",9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5,"1","1"
"564",7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6,"2","2"
"567",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,"2","2"
"574",10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4,"1","1"
"583",11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5,"1","1"
"588",7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5,"1","1"
"593",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,"1","1"
"595",7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5,"1","1"
"596",8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5,"1","1"
"599",8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6,"2","2"
"600",12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,"2","2"
"621",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5,"1","1"
"623",10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,"1","1"
"630",7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5,"1","1"
"638",9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5,"1","1"
"652",9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,"1","1"
"653",15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,"1","1"
"657",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,"1","1"
"658",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,"3","3"
"673",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5,"1","1"
"679",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,"1","1"
"683",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,"1","1"
"684",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,"1","1"
"686",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,"1","1"
"687",7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5,"1","1"
"696",5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,"2","2"
"701",10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,"2","2"
"706",8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,"1","1"
"707",7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,"1","1"
"708",7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5,"1","1"
"711",10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,5,"1","1"
"715",9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5,"1","1"
"732",8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5,"1","1"
"737",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,"1","1"
"738",8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,"2","2"
"748",8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5,"1","1"
"753",7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5,"1","1"
"754",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,"1","1"
"755",7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,6,"2","2"
"756",7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,"2","2"
"758",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,"1","1"
"767",8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5,"1","1"
"768",7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,5,"1","1"
"769",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,"2","2"
"774",7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6,"2","2"
"788",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,"2","2"
"790",8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5,"1","1"
"791",7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6,"2","2"
"794",7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5,"1","1"
"805",8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6,"2","2"
"810",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,"2","2"
"811",7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5,"1","1"
"812",12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6,"2","2"
"813",10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,"1","1"
"820",9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,"1","1"
"822",4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,"3","3"
"823",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,"1","1"
"827",7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7,"3","3"
