"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","qua.type","predited"
"828",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,"1","1"
"830",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,"2","2"
"836",7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,"1","1"
"837",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,"3","3"
"841",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7,"3","3"
"844",7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5,"1","1"
"848",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6,"2","2"
"852",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,"1","1"
"854",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,"2","2"
"857",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,"2","2"
"858",8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,"3","3"
"859",11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7,"3","3"
"862",5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6,"2","2"
"867",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6,"2","2"
"870",7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6,"2","2"
"872",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,"1","1"
"877",7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4,"1","1"
"879",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,"2","2"
"888",10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7,"3","3"
"890",10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,"1","1"
"892",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,"1","1"
"896",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,"2","2"
"897",8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,"3","3"
"899",8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,"3","3"
"913",10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6,"2","2"
"914",9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7,"3","3"
"918",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,"2","2"
"924",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,"2","2"
"935",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,"1","1"
"936",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,"2","2"
"944",9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7,"3","3"
"945",8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7,"3","3"
"947",10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7,"3","3"
"955",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6,"2","2"
"956",8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,"1","1"
"966",8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6,"2","2"
"971",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,"2","2"
"985",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,"1","1"
"1002",9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7,"3","3"
"1015",8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,6,"2","2"
"1018",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6,"2","2"
"1024",8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6,"2","2"
"1028",6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5,"1","1"
"1029",7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6,"2","2"
"1031",7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,"3","3"
"1032",7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7,"3","3"
"1042",6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6,"2","2"
"1044",9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7,"3","3"
"1046",6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6,"2","2"
"1048",7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,"1","1"
"1050",9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6,"2","2"
"1056",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,"2","2"
"1058",7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5,"1","1"
"1070",8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5,"1","1"
"1074",8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6,"2","2"
"1075",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,"1","1"
"1080",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7,"3","3"
"1093",7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6,"2","2"
"1098",8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,"1","1"
"1101",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6,"2","2"
"1111",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6,"2","2"
"1129",10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,"1","1"
"1131",9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6,"2","2"
"1138",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,"2","2"
"1140",8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,"2","2"
"1142",8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,"2","2"
"1154",9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,"2","2"
"1156",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,"1","1"
"1159",6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6,"2","2"
"1160",10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,"1","1"
"1166",8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,"1","1"
"1170",7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6,"2","2"
"1176",6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,"2","2"
"1177",6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,"1","1"
"1181",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,"2","2"
"1182",9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,"1","1"
"1188",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,"2","2"
"1189",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,"1","1"
"1191",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6,"2","2"
"1195",7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,"2","2"
"1198",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,"2","2"
"1207",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,"3","3"
"1210",6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,"3","3"
"1218",8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,"2","2"
"1223",8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,"2","2"
"1229",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,"3","3"
"1231",7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,"2","2"
"1244",8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,"1","1"
"1245",5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,6,"2","2"
"1257",7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5,"1","1"
"1258",7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6,"2","2"
"1266",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,"2","2"
"1270",5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,"3","3"
"1271",5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,"2","2"
"1272",7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,"2","2"
"1276",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,"2","2"
"1284",8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6,"2","2"
"1294",7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,"1","1"
"1297",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,"1","1"
"1304",8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5,"1","1"
"1320",9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,"2","2"
"1324",9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,"3","3"
"1333",8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,6,"2","2"
"1340",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,"2","2"
"1348",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,"1","1"
"1353",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,"1","1"
"1355",7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5,"1","1"
"1358",7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,6,"2","2"
"1359",7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5,"1","1"
"1367",7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5,"1","1"
"1370",6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,"1","1"
"1374",7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5,"1","1"
"1376",7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5,"1","1"
"1379",7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6,"2","2"
"1385",7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5,"1","1"
"1391",6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6,"2","2"
"1392",8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,"1","1"
"1393",7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5,"1","1"
"1409",8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,"3","3"
"1414",9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5,"1","1"
"1419",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,"1","1"
"1425",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,"2","2"
"1426",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,"2","2"
"1431",7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5,"1","1"
"1457",6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6,"2","2"
"1458",7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,"1","1"
"1461",6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,"2","2"
"1462",6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,"1","1"
"1466",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,"1","1"
"1471",10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5,"1","1"
"1473",7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,6,"2","2"
"1479",7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3,"1","1"
"1480",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,"1","1"
"1499",6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,"2","2"
"1507",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6,"2","2"
"1508",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,"2","2"
"1514",6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,"2","2"
"1518",6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,"2","2"
"1522",6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4,"1","1"
"1523",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5,"1","1"
"1535",6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7,"3","3"
"1547",7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5,"1","1"
"1549",11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5,"1","1"
"1550",7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8,"3","3"
"1552",7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,"1","1"
"1554",7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5,"1","1"
"1556",7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7,"3","3"
"1558",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,"2","2"
"1559",6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5,"1","1"
"1563",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,"1","1"
"1567",6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6,"2","2"
"1569",7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5,"1","1"
"1575",5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6,"2","2"
"1580",6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,"1","1"
"1585",6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,"3","3"
"1588",5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6,"2","2"
"1590",6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5,"1","1"
"1598",5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,"1","1"
"1599",6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6,"2","2"
